,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,orgunitlevel6,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Malaria Confirmed cases  W25 2019,Malaria Confirmed cases  W24 2019,Malaria Confirmed cases  W23 2019,Malaria Confirmed cases  W22 2019,Malaria Confirmed cases  W21 2019,Malaria Confirmed cases  W26 2018,Malaria Confirmed cases  W25 2018,Malaria Confirmed cases  W24 2018,Malaria Confirmed cases  W23 2018,Malaria Confirmed cases  W22 2018,Malaria Confirmed cases  W26 2017,Malaria Confirmed cases  W25 2017,Malaria Confirmed cases  W24 2017,Malaria Confirmed cases  W23 2017,Malaria Confirmed cases  W22 2017,Malaria Deaths W25 2019,Malaria Deaths W24 2019,Malaria Deaths W23 2019,Malaria Deaths W22 2019,Malaria Deaths W21 2019,Malaria Deaths W26 2018,Malaria Deaths W25 2018,Malaria Deaths W24 2018,Malaria Deaths W23 2018,Malaria Deaths W22 2018,Malaria Deaths W26 2017,Malaria Deaths W25 2017,Malaria Deaths W24 2017,Malaria Deaths W23 2017,Malaria Deaths W22 2017,Malaria Confirmed cases  W25 2019,Malaria Confirmed cases  W24 2019,Malaria Confirmed cases  W23 2019,Malaria Confirmed cases  W22 2019,Malaria Confirmed cases  W21 2019,Malaria Confirmed cases  W26 2018,Malaria Confirmed cases  W25 2018,Malaria Confirmed cases  W24 2018,Malaria Confirmed cases  W23 2018,Malaria Confirmed cases  W22 2018,Malaria Confirmed cases  W26 2017,Malaria Confirmed cases  W25 2017,Malaria Confirmed cases  W24 2017,Malaria Confirmed cases  W23 2017,Malaria Confirmed cases  W22 2017
20,Rwanda,North,Musanze District,Ruhengeri Sub District,Kinigi,Bisate CS,FFRc4CJGgBx,Bisate CS,308,,,,,,,1.0,2.0,0.0,0.0,2.0,1.0,4.0,5.0,3.0,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,2.0,0.0,0.0,2.0,1.0,4.0,5.0,3.0,2.0
21,Rwanda,West,Karongi District,Kibuye Sub District,Rwankuba,Bisesero (karongi) CS,fInqXIrKkv2,Bisesero (karongi) CS,617,,,,,,,7.0,11.0,0.0,2.0,3.0,13.0,8.0,8.0,9.0,7.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,7.0,11.0,0.0,2.0,3.0,13.0,8.0,8.0,9.0,7.0
22,Rwanda,West,Rutsiro District,Murunda Sub District,Ruhango (Rutsiro  District),Bitenga  CS,uWAq817TIeO,Bitenga  CS,178,,,,,,,0.0,2.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,5.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,5.0
23,Rwanda,South,Ruhango District,Ruhango Sub District,Ruhango,Blessed F H Ltd CLIN,uJ8dT201lt8,Blessed F H Ltd CLIN,1372,,,,,,,,25.0,35.0,35.0,30.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,25.0,35.0,35.0,30.0,,,,,
24,Rwanda,North,Rulindo District,Rutongo Sub District,MURAMBI,Bubangu CS,tturhTamp57,Bubangu CS,1426,,,,,,,25.0,42.0,47.0,63.0,80.0,32.0,43.0,28.0,58.0,37.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,42.0,47.0,63.0,80.0,32.0,43.0,28.0,58.0,37.0
25,Rwanda,West,Karongi District,Kibuye Sub District,Rubengera,Bubazi CS,izhWk7oDwgG,Bubazi CS,156,,,,,,,8.0,6.0,8.0,8.0,13.0,43.0,26.0,54.0,46.0,33.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8.0,6.0,8.0,8.0,13.0,43.0,26.0,54.0,46.0,33.0
26,Rwanda,East,Nyagatare District,Nyagatare Sub District,RWIMIYAGA,Bugaragara CS,IdcrLBJCVLY,Bugaragara CS,366,,,,,,,52.0,52.0,39.0,35.0,23.0,229.0,249.0,155.0,70.0,55.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,52.0,52.0,39.0,35.0,23.0,229.0,249.0,155.0,70.0,55.0
27,Rwanda,West,Rusizi District,Mibilizi Sub District,Muganza (Rusizi District),Bugarama (rusizi) CS,MzpBxXVFnTC,Bugarama (rusizi) CS,237,,,,,,,264.0,329.0,477.0,500.0,436.0,271.0,349.0,291.0,261.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,264.0,329.0,477.0,500.0,436.0,271.0,349.0,291.0,261.0,
28,Rwanda,South,Nyamagabe District,Kigeme Sub District,Kibirizi (Nyamagabe District),Bugarama PS,z1Q6R8xI9iD,Bugarama PS,495,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Rwanda,East,Gatsibo District,Kiziguro Sub District,Remera (Gatsibo District),Bugarura CS,NpJsiMqadRd,Bugarura CS,386,,,,,,,4.0,0.0,1.0,0.0,1.0,10.0,12.0,16.0,14.0,3.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4.0,0.0,1.0,0.0,1.0,10.0,12.0,16.0,14.0,3.0
